source_file,test_id,qid,type,cluster,tsne_x,tsne_y,clean_text
reading-endofcourse-2015.js,reading_endofcourse_2015,1,multiple-choice,1,19.01412,-13.10592,"In paragraph 1, the words ""rumbled,"" ""buzzed,"" and ""exploded"" evoke images of-"
reading-endofcourse-2015.js,reading_endofcourse_2015,2,multiple-choice,4,-6.6146283,-15.556229,The details in paragraph 2 support the idea that Benjamin is -
reading-endofcourse-2015.js,reading_endofcourse_2015,3,multiple-choice,1,17.945387,-9.608604,Read this sentence from paragraph 4. He swung wide around an anonymous heap of metal being swallowed by a greedy mound of blackberry brambles and came to an abrupt halt. The sentence contains an example of--
reading-endofcourse-2015.js,reading_endofcourse_2015,4,multiple-select,4,-7.7687984,-16.72663,"In this excerpt from paragraph 7, select the words that best reveal Benjamin's attempt to gain the artist's trust. Craning his head to the side to get another peek at it, he answered politely enough, ""My name's Benjamin, and I live up on Hendricks Avenue,"" waving his hand vaguely at the steep hill behind him. ... Then Benjamin blushed and apologized."
reading-endofcourse-2015.js,reading_endofcourse_2015,5,multiple-choice,1,12.564295,-11.766259,Which situation in the selection is an example of irony?
reading-endofcourse-2015.js,reading_endofcourse_2015,6,multiple-choice,0,3.443339,9.447234,"According to paragraph 3, the main difference between Super Stadiums and regular stadiums is that Super Stadiums -"
reading-endofcourse-2015.js,reading_endofcourse_2015,7,multiple-choice,0,4.18057,9.110967,"In paragraph 6, which word best describes the author's attitude about Super Stadium projects?"
reading-endofcourse-2015.js,reading_endofcourse_2015,8,multiple-choice,0,3.535089,10.60143,"According to paragraph 7, in the future, sports fans will-"
reading-endofcourse-2015.js,reading_endofcourse_2015,9,multiple-choice,2,-21.81053,5.8940225,Which sentence from this selection would be most difficult to verify as a fact?
reading-endofcourse-2015.js,reading_endofcourse_2015,10,multiple-choice,0,4.3609056,12.902414,"Based on the selection, the reader may best infer that new building materials -"
reading-endofcourse-2015.js,reading_endofcourse_2015,11,multiple-choice,0,2.5227997,8.791221,Which information about the selection would be best to include in a report about the popularity of spectator sports?
reading-endofcourse-2015.js,reading_endofcourse_2015,12,multiple-choice,2,-24.656704,-4.2032795,The purpose of this selection is to--
reading-endofcourse-2015.js,reading_endofcourse_2015,13,multiple-choice,2,-25.931515,-5.1601725,The purpose of the first paragraph is to -
reading-endofcourse-2015.js,reading_endofcourse_2015,14,multiple-choice,2,-32.0585,3.8972814,Which question is answered in paragraph 3?
reading-endofcourse-2015.js,reading_endofcourse_2015,15,multiple-choice,0,4.122116,5.994239,Paragraph 4 suggests that Osamu Tezuka -
reading-endofcourse-2015.js,reading_endofcourse_2015,16,multiple-choice,1,16.53772,-6.2605267,"Read this sentence from paragraph 5. While Tezuka's manga may stand on the same library shelves as American superhero comic books, Tezuka's manga are to most traditional American comic books what Shakespeare's plays are to soap operas on American television: a similar art form, but with much richer content. The purpose of the analogy in this sentence is to-"
reading-endofcourse-2015.js,reading_endofcourse_2015,17,multiple-choice,2,-24.478058,-6.536299,The author mainly develops the topic of this selection by -
reading-endofcourse-2015.js,reading_endofcourse_2015,18,multiple-choice,0,3.9901426,6.1080513,Which information from the selection supports the thesis that manga has become increasingly popular over time?
reading-endofcourse-2015.js,reading_endofcourse_2015,19,multiple-choice,4,-3.5361133,-24.536436,"In paragraph 2, the author uses dialogue to -"
reading-endofcourse-2015.js,reading_endofcourse_2015,20,multiple-choice,4,-4.0375276,-12.946146,"Read this sentence from paragraph 3. I watched her play with the top button of her coat and thought about the man I was about to meet, my father, whose face I knew only from a small black-and-white photograph. This sentence conveys Su-Jen's feelings of -"
reading-endofcourse-2015.js,reading_endofcourse_2015,21,multiple-choice,3,30.663843,3.6297166,"In paragraph 3, pensive means -"
reading-endofcourse-2015.js,reading_endofcourse_2015,22,multiple-choice,1,18.095198,-8.821363,"Read this sentence from paragraph 5. He stopped as he drew near, huffing out of breath. This sentence contains an example of--"
reading-endofcourse-2015.js,reading_endofcourse_2015,23,multiple-choice,4,-2.9700668,-18.422216,The character of Su-Jen is mainly revealed through her--
reading-endofcourse-2015.js,reading_endofcourse_2015,24,multiple-choice,4,-6.657188,-14.011777,"Based on the selection, Su-Jen's father may best be described as--"
reading-endofcourse-2015.js,reading_endofcourse_2015,25,multiple-choice,4,4.9865813,-20.217003,Later chapters of this selection would most likely describe--
reading-endofcourse-2015.js,reading_endofcourse_2015,26,multiple-choice,3,26.393364,0.035703696,"Which word carries a negative connotation in this sentence? Patrick's mother is assuming that when her son refrains from fraternizing so much, he will become more accomplished."
reading-endofcourse-2015.js,reading_endofcourse_2015,27,multiple-choice,3,26.328476,7.89718,"Read this sentence. Ryan was meticulous with his writing assignments, so the papers he turned in for English class received the highest grades for grammar because they never contained mistakes. As used in this sentence, the word meticulous means--"
reading-endofcourse-2015.js,reading_endofcourse_2015,28,multiple-choice,0,-13.5443945,0.8596651,Which fact from a magazine article would be best to include in a report about the literary career of William Faulkner?
reading-endofcourse-2015.js,reading_endofcourse_2015,29,multiple-choice,1,16.455267,-8.634116,Read these sentences. The days following tryouts for the wrestling team were a roller coaster ride for Ian. He had done his best at the tryouts and hoped the coaches would want him to wrestle on the varsity team. He worried over it for hours. The purpose of the figurative language in these sentences is to suggest that Ian--
reading-endofcourse-2015.js,reading_endofcourse_2015,30,multiple-choice,0,2.6329525,23.047455,The information in paragraph 2 supports the idea that Antarctic fish -
reading-endofcourse-2015.js,reading_endofcourse_2015,31,multiple-choice,0,4.6427364,22.667376,"Read these sentences from paragraph 3. The threadfin pithead, for instance, lives at depths of around 2,000 feet in the cold dark of the Antarctic seas. It is difficult to imagine a more adverse environment. These sentences suggest that the author--"
