test_id,question_id,subject,level,response_count,median_response_time,threshold,cap_bound
math_algebra1_2014,1,math,algebra1,109,35.0,10.0,True
math_algebra1_2014,2,math,algebra1,109,9.0,2.6999999999999997,False
math_algebra1_2014,3,math,algebra1,109,9.0,2.6999999999999997,False
math_algebra1_2014,4,math,algebra1,109,18.0,5.3999999999999995,False
math_algebra1_2014,5,math,algebra1,109,8.0,2.4,False
math_algebra1_2014,6,math,algebra1,109,14.0,4.2,False
math_algebra1_2014,7,math,algebra1,109,20.0,6.0,False
math_algebra1_2014,8,math,algebra1,109,19.0,5.7,False
math_algebra1_2014,9,math,algebra1,109,23.0,6.8999999999999995,False
math_algebra1_2014,10,math,algebra1,109,16.0,4.8,False
math_algebra1_2014,11,math,algebra1,109,15.0,4.5,False
math_algebra1_2014,12,math,algebra1,109,19.0,5.7,False
math_algebra1_2014,13,math,algebra1,109,12.0,3.5999999999999996,False
math_algebra1_2014,14,math,algebra1,109,7.0,2.1,False
math_algebra1_2014,15,math,algebra1,109,3.0,0.8999999999999999,False
math_algebra1_2014,16,math,algebra1,109,14.0,4.2,False
math_algebra1_2014,17,math,algebra1,109,26.0,7.8,False
math_algebra1_2014,18,math,algebra1,109,18.0,5.3999999999999995,False
math_algebra1_2014,19,math,algebra1,109,23.0,6.8999999999999995,False
math_algebra1_2014,20,math,algebra1,109,10.0,3.0,False
math_algebra1_2014,21,math,algebra1,109,25.0,7.5,False
math_algebra1_2014,22,math,algebra1,109,18.0,5.3999999999999995,False
math_algebra1_2014,23,math,algebra1,109,6.0,1.7999999999999998,False
math_algebra1_2014,24,math,algebra1,109,15.0,4.5,False
math_algebra1_2014,25,math,algebra1,109,6.0,1.7999999999999998,False
math_algebra1_2014,26,math,algebra1,109,26.0,7.8,False
math_algebra1_2014,27,math,algebra1,109,21.0,6.3,False
math_algebra1_2014,28,math,algebra1,109,40.0,10.0,True
math_algebra1_2014,29,math,algebra1,109,39.0,10.0,True
math_algebra1_2014,30,math,algebra1,109,14.0,4.2,False
math_algebra1_2014,31,math,algebra1,109,8.0,2.4,False
math_algebra1_2014,32,math,algebra1,109,34.0,10.0,True
math_algebra1_2014,33,math,algebra1,109,16.0,4.8,False
math_algebra1_2014,34,math,algebra1,109,37.0,10.0,True
math_algebra1_2014,35,math,algebra1,109,18.0,5.3999999999999995,False
math_algebra1_2014,36,math,algebra1,109,41.0,10.0,True
math_algebra1_2014,37,math,algebra1,109,27.0,8.1,False
math_algebra1_2014,38,math,algebra1,109,10.0,3.0,False
math_algebra1_2014,39,math,algebra1,109,5.0,1.5,False
math_algebra1_2014,40,math,algebra1,109,18.0,5.3999999999999995,False
math_algebra1_2014,41,math,algebra1,109,61.0,10.0,True
math_algebra1_2014,42,math,algebra1,109,108.0,10.0,True
math_algebra1_2014,43,math,algebra1,109,20.0,6.0,False
math_algebra1_2014,44,math,algebra1,109,20.0,6.0,False
math_algebra1_2014,45,math,algebra1,109,18.0,5.3999999999999995,False
math_algebra1_2014,46,math,algebra1,109,12.0,3.5999999999999996,False
math_algebra1_2014,47,math,algebra1,109,98.0,10.0,True
math_algebra1_2014,48,math,algebra1,109,44.0,10.0,True
math_algebra1_2014,49,math,algebra1,109,10.0,3.0,False
math_algebra1_2014,50,math,algebra1,109,30.0,9.0,False
math_algebra1_2015,1,math,algebra1,96,14.5,4.35,False
math_algebra1_2015,2,math,algebra1,96,21.0,6.3,False
math_algebra1_2015,3,math,algebra1,96,16.5,4.95,False
math_algebra1_2015,4,math,algebra1,96,52.5,10.0,True
math_algebra1_2015,5,math,algebra1,96,24.0,7.199999999999999,False
math_algebra1_2015,6,math,algebra1,96,24.5,7.35,False
math_algebra1_2015,7,math,algebra1,96,45.0,10.0,True
math_algebra1_2015,8,math,algebra1,96,49.0,10.0,True
math_algebra1_2015,9,math,algebra1,96,17.5,5.25,False
math_algebra1_2015,10,math,algebra1,96,25.0,7.5,False
math_algebra1_2015,11,math,algebra1,96,28.0,8.4,False
math_algebra1_2015,12,math,algebra1,96,33.5,10.0,True
math_algebra1_2015,13,math,algebra1,96,72.0,10.0,True
math_algebra1_2015,14,math,algebra1,96,57.0,10.0,True
math_algebra1_2015,15,math,algebra1,96,36.0,10.0,True
math_algebra1_2015,16,math,algebra1,96,47.5,10.0,True
math_algebra1_2015,17,math,algebra1,96,34.5,10.0,True
math_algebra1_2015,18,math,algebra1,96,21.5,6.45,False
math_algebra1_2015,19,math,algebra1,96,25.5,7.6499999999999995,False
math_algebra1_2015,20,math,algebra1,96,62.0,10.0,True
math_algebra1_2015,21,math,algebra1,96,53.5,10.0,True
math_algebra1_2015,22,math,algebra1,96,23.5,7.05,False
math_algebra1_2015,23,math,algebra1,96,40.0,10.0,True
